,lat,lon,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,CEC topsoil,CEC clay topsoil,CaCO3 % topsoil,C/N topsoil,C/N subsoil,PSurf_Winter,PSurf_Spring,PSurf_Summer,PSurf_Fall,Qair_Winter,Qair_Spring,Qair_Summer,Qair_Fall,Tair_Winter,Tair_Spring,Tair_Summer,Tair_Fall,Wind_Winter,Wind_Spring,Wind_Summer,Wind_Fall,Rainf_Winter,Rainf_Spring,Rainf_Summer,Rainf_Fall
32,-5.75,27.75,78.81,13.17,8.08,7.67,0.337,0.424,0.046,6.4,57.3,2.01,11.8,13.3,92779.43509678342,92701.2877367216,92821.99278983515,92725.60767994504,0.017727992646119455,0.01645848475068676,0.009734602320146475,0.017096480012133652,297.24469928514196,297.7117717673992,297.4799726007326,298.11920457875453,1.1230264895970694,1.6725555595146522,2.006462013301282,1.370534971565934,5.923539977563846e-05,4.6962088596147625e-05,2.0638966584249088e-06,4.6370419002742867e-05
33,-5.75,28.25,58.3,20.95,20.75,7.65,0.635,0.32,0.08,10.1,57.0,13.05,10.5,10.0,92496.57972023809,92417.1410952381,92543.94609844322,92436.98670146521,0.017415008558608017,0.016043504269688594,0.009915199020695922,0.016405498206730713,297.1085528760302,297.41236281593405,296.9362200091574,297.99194477106226,1.1596506560336541,1.8749507511648351,2.232083606423993,1.4043279931410253,5.6546505704434055e-05,4.7891417827603665e-05,1.4189288942307691e-06,4.169883386560806e-05
34,-5.75,28.75,52.21,23.23,24.58,7.39,0.678,0.405,0.113,10.87,56.7,8.54,10.3,10.8,90001.28029567307,89948.21590567766,90088.32211813188,89948.13076739924,0.016521793634987365,0.015850357345009107,0.010551970781684931,0.015253847970009109,295.8061799479167,295.94157832417585,295.32847835622715,296.73273375915755,1.252849266456044,2.0687783809569593,2.4429354700320514,1.6046747029853479,5.694691891300365e-05,5.258137028983113e-05,1.8621471240842493e-06,3.7460642161767396e-05
35,-5.75,29.25,58.3,20.95,20.75,7.65,0.635,0.32,0.08,10.1,57.0,13.05,10.5,10.0,90384.29841277472,90374.58929487178,90527.13403937727,90340.84712362639,0.01615489905268426,0.016013337251373567,0.011631580151327784,0.015168111285027422,296.0633215813873,296.0159946932235,295.1998898351648,296.9239157051282,1.6263334479687503,1.8392116272939563,2.322060192202381,1.9508454123076922,5.490649504075092e-05,5.295996634615384e-05,1.4145023443223443e-06,3.4176157262820516e-05
36,-5.75,29.75,38.36,37.36,24.36,7.78,0.649,0.303,0.089,17.42,54.5,12.65,9.9,10.4,92038.37615258699,92021.9156245421,92190.1967293956,91990.2638598901,0.013574188277586947,0.013186942148351598,0.010347708892811308,0.013223321185805808,293.90543869963375,293.7832005357143,293.6358482692308,295.02294211538464,1.5639074597796472,1.5679689280998172,2.31745851437729,1.9402172595604392,6.728623572009026e-05,5.125599636784945e-05,1.0004506694139195e-06,3.5780143737087906e-05
37,-5.25,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94050.47197847987,93974.120378663,94123.96750091575,94012.39892902931,0.017711232243189053,0.01691622530196882,0.011083753417994445,0.017541246262087862,297.8870646800595,298.60118036630035,298.71835330586083,298.39266972069595,1.1933330267410711,1.5907778739468865,1.8347690705494506,1.3889771413782053,6.52922412326477e-05,4.720236233103774e-05,7.2291060320512826e-06,5.7246693979390474e-05
38,-5.25,26.25,35.673,13.926,16.401,4.884,0.429,0.2079,0.0759,6.303,39.93,4.356,6.27,6.27,93814.80810948949,93737.88238141025,93881.45559981685,93776.98110027472,0.017719303258070005,0.01699572336057687,0.010882442354166614,0.01761345490338824,297.69191094036177,298.39189460164835,298.5270599084249,298.31993413003664,1.2126145201288918,1.6443894187820514,1.9602678628663004,1.4369882475595237,6.324880873110533e-05,4.770564520375201e-05,6.009727999084249e-06,5.7458576682232964e-05
39,-5.25,26.75,35.673,13.926,16.401,4.884,0.429,0.2079,0.0759,6.303,39.93,4.356,6.27,6.27,93322.49460565476,93246.07036446886,93381.33575045789,93280.86543498168,0.017587204426453708,0.016933971488782007,0.010781756041162962,0.017363043603708737,297.28566653273805,297.89619867673997,297.9269778663004,297.9176834661172,1.1905105770518545,1.6196166169047619,1.9744069106639193,1.4650117901510986,6.370360868054601e-05,4.566976196153003e-05,4.5638496149267405e-06,5.8328890933599636e-05
40,-5.25,27.25,78.81,13.17,8.08,7.67,0.337,0.424,0.046,6.4,57.3,2.01,11.8,13.3,93642.00112477106,93564.16141483517,93691.19564331502,93597.79006501831,0.017593283008270337,0.017030745527014612,0.010679670013324124,0.017344166604166607,297.282838700206,297.8290078617216,297.7625183836996,298.018515297619,1.1468743297292812,1.4912650652609893,1.8846522469093405,1.4373293066300368,6.190262105746008e-05,4.615902564880917e-05,3.923303451465202e-06,5.5214703835386075e-05
41,-5.25,27.75,78.81,13.17,8.08,7.67,0.337,0.424,0.046,6.4,57.3,2.01,11.8,13.3,92059.34264846612,91981.20347206961,92111.31842948716,92017.05254853479,0.017535750850990107,0.016783990852564053,0.011135533260714231,0.01731535340819593,296.8466329115156,297.26386942765566,297.1551872161172,297.5895590430403,1.076180506991186,1.4692286925091576,1.8411645496703293,1.2799955866163002,6.054659844499477e-05,4.830314860691061e-05,3.2492909226190475e-06,4.994146481158278e-05
